geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.89399999999968 34.19),66,False,False,False,False,1000000.0,1000000.0,0,-77.89399999999968,34.19
POINT (-77.89299999999967 34.19),67,False,False,False,False,1000000.0,1000000.0,0,-77.89299999999967,34.19
POINT (-77.89199999999967 34.19),68,False,False,False,False,1000000.0,1000000.0,0,-77.89199999999967,34.19
POINT (-77.89099999999966 34.19),69,False,False,False,False,1000000.0,1000000.0,0,-77.89099999999966,34.19
POINT (-77.88999999999966 34.19),70,False,False,False,False,1000000.0,1000000.0,0,-77.88999999999966,34.19
POINT (-77.88899999999965 34.19),71,False,False,False,False,1000000.0,1000000.0,0,-77.88899999999965,34.19
POINT (-77.88799999999965 34.19),72,False,False,False,False,1000000.0,1000000.0,0,-77.88799999999965,34.19
POINT (-77.88699999999965 34.19),73,False,False,False,False,1000000.0,1000000.0,0,-77.88699999999965,34.19
POINT (-77.88599999999964 34.19),74,False,False,False,False,1000000.0,1000000.0,0,-77.88599999999964,34.19
POINT (-77.88499999999964 34.19),75,False,False,False,False,1000000.0,1000000.0,0,-77.88499999999964,34.19
POINT (-77.88399999999963 34.19),76,False,False,False,False,1000000.0,1000000.0,0,-77.88399999999963,34.19
POINT (-77.88299999999963 34.19),77,False,False,False,False,1000000.0,1000000.0,0,-77.88299999999963,34.19
POINT (-77.88199999999962 34.19),78,False,False,False,False,1000000.0,1000000.0,0,-77.88199999999962,34.19
POINT (-77.88099999999962 34.19),79,False,False,False,False,1000000.0,1000000.0,0,-77.88099999999962,34.19
POINT (-77.87999999999961 34.19),80,False,False,False,False,1000000.0,1000000.0,0,-77.87999999999961,34.19
POINT (-77.8789999999996 34.19),81,False,False,False,False,1000000.0,1000000.0,0,-77.8789999999996,34.19
POINT (-77.8779999999996 34.19),82,False,False,False,False,1000000.0,1000000.0,0,-77.8779999999996,34.19
POINT (-77.8769999999996 34.19),83,False,False,False,False,1000000.0,1000000.0,0,-77.8769999999996,34.19
POINT (-77.87599999999959 34.19),84,False,False,False,False,1000000.0,1000000.0,0,-77.87599999999959,34.19
POINT (-77.87499999999959 34.19),85,False,False,False,False,1000000.0,1000000.0,0,-77.87499999999959,34.19
POINT (-77.87399999999958 34.19),86,False,False,False,False,1000000.0,1000000.0,0,-77.87399999999958,34.19
POINT (-77.87299999999958 34.19),87,False,False,False,False,1000000.0,1000000.0,0,-77.87299999999958,34.19
POINT (-77.87199999999957 34.19),88,False,False,False,False,1000000.0,1000000.0,0,-77.87199999999957,34.19
POINT (-77.87099999999957 34.19),89,False,False,False,False,1000000.0,1000000.0,0,-77.87099999999957,34.19
POINT (-77.86999999999956 34.19),90,False,False,False,False,1000000.0,1000000.0,0,-77.86999999999956,34.19
POINT (-77.86899999999956 34.19),91,False,False,False,False,1000000.0,1000000.0,0,-77.86899999999956,34.19
POINT (-77.86799999999955 34.19),92,False,False,False,False,1000000.0,1000000.0,0,-77.86799999999955,34.19
POINT (-77.86699999999955 34.19),93,False,False,False,False,1000000.0,1000000.0,0,-77.86699999999955,34.19
POINT (-77.86599999999954 34.19),94,False,False,False,False,1000000.0,1000000.0,0,-77.86599999999954,34.19
POINT (-77.86499999999954 34.19),95,False,False,False,False,1000000.0,1000000.0,0,-77.86499999999954,34.19
POINT (-77.86399999999954 34.19),96,False,False,False,False,1000000.0,1000000.0,0,-77.86399999999954,34.19
POINT (-77.86299999999953 34.19),97,False,False,False,False,1000000.0,1000000.0,0,-77.86299999999953,34.19
POINT (-77.86199999999953 34.19),98,False,False,False,True,1000000.0,1000000.0,0,-77.86199999999953,34.19
POINT (-77.86099999999952 34.19),99,False,False,False,True,1000000.0,1000000.0,0,-77.86099999999952,34.19
POINT (-77.85999999999952 34.19),100,False,False,False,False,1000000.0,1000000.0,0,-77.85999999999952,34.19
POINT (-77.85899999999951 34.19),101,False,False,False,False,1000000.0,1000000.0,0,-77.85899999999951,34.19
POINT (-77.8579999999995 34.19),102,False,False,False,False,1000000.0,1000000.0,0,-77.8579999999995,34.19
POINT (-77.8569999999995 34.19),103,False,False,False,False,1000000.0,1000000.0,0,-77.8569999999995,34.19
POINT (-77.8559999999995 34.19),104,False,False,False,False,1000000.0,1000000.0,0,-77.8559999999995,34.19
POINT (-77.85499999999949 34.19),105,False,False,False,False,1000000.0,1000000.0,0,-77.85499999999949,34.19
POINT (-77.85399999999949 34.19),106,False,False,False,False,1000000.0,1000000.0,0,-77.85399999999949,34.19
POINT (-77.85299999999948 34.19),107,False,False,False,False,1000000.0,1000000.0,0,-77.85299999999948,34.19
POINT (-77.85199999999948 34.19),108,False,False,False,False,1000000.0,1000000.0,0,-77.85199999999948,34.19
POINT (-77.85099999999947 34.19),109,False,False,False,False,1000000.0,1000000.0,0,-77.85099999999947,34.19
POINT (-77.84999999999947 34.19),110,False,False,False,False,1000000.0,1000000.0,0,-77.84999999999947,34.19
POINT (-77.84899999999946 34.19),111,False,False,False,False,1000000.0,1000000.0,0,-77.84899999999946,34.19
POINT (-77.84799999999946 34.19),112,False,False,False,True,1000000.0,1000000.0,0,-77.84799999999946,34.19
POINT (-77.84699999999945 34.19),113,False,False,False,False,1000000.0,1000000.0,0,-77.84699999999945,34.19
POINT (-77.84599999999945 34.19),114,False,False,False,True,1000000.0,1000000.0,0,-77.84599999999945,34.19
POINT (-77.84499999999944 34.19),115,False,False,False,False,1000000.0,1000000.0,0,-77.84499999999944,34.19
POINT (-77.84399999999944 34.19),116,False,False,False,False,1000000.0,1000000.0,0,-77.84399999999944,34.19
POINT (-77.84299999999944 34.19),117,False,False,False,True,1000000.0,1000000.0,0,-77.84299999999944,34.19
