num,Date,Time,Lat,Long,Max_Winds_kt,SSHWS,RMW_nm,Central_Pressure,OCI_mb,Size_nm,States_Affected,Strom_Name,,
146,7/25/1959,0500Z,29.1N,95.2W,75,1,20,980,1012,150,CTX1,Debra,,
147,9/29/1959,1700Z,32.5N,80.4W,115,4,10,951,1013,300,SC4,Gracie,,
148,9/10/1960,0700Z,24.8N,80.9W,125,4,20,930,1009,250,"BFL4,CFL4",Donna,,
149,9/10/1960,1600Z,25.9N,81.6W,105,3,20,942,1009,250,"BFL4,CFL4",Donna,,
150,9/12/1960,0400Z,34.6N,77.3W,90,2,50,958,1008,350,"NC2,VA1",Donna,,
151,9/12/1960,1900Z,40.7N,72.9W,85,2,50,959,1004,350,NY2,Donna,,
152,9/12/1960,2000Z,41.3N,72.4W,80,1,50,962,1004,350,"CT1,RI1,MA1",Donna,,
153,9/15/1960%,2100Z,30.4N,89.0W,80,1,20,980,1013,150,"LA1,MS1",Ethel,,
154,9/11/1961,2000Z,28.3N,96.4W,125,4,20,931,1007,475,"BTX4,","CTX3,",ATX1,Carla
155,8/27/1964,0800Z,25.8N,80.1W,95,2,10,968,1010,200,CFL2,Cleo,,
156,9/10/1964,0600Z,29.9N,81.3W,95,2,5,966,1012,325,DFL2,Dora,,
157,10/3/1964,2300Z,29.5N,91.5W,90,2,35,959,1010,300,LA2,Hilda,,
158,10/14/1964,2100Z,25.8N,81.4W,90,2,20,970,1011,350,"BFL2,",CFL1,Isbell,
159,09/08/1965,1100Z,25.0N,80.5W,100,3,30,952,1009,375,"BFL3,",CFL3,Betsy,
160,09/10/1965,0400Z,29.2N,90.1W,115,4,30,946,1010,275,LA4,Betsy,,
161,6/8/1966*,1900Z,24.6N,82.7W,100,3,---,962,1010,175,BFL3,Alma,,
162,6/9/1966,2100Z,30.1N,84.2W,75,1,30,982,1011,225,AFL1,Alma,,
163,10/04/1966,1800Z,25.0N,80.5W,85,2,15,984,1009,225,CFL2,Inez,,
164,10/4/1966,2300Z,24.7N,81.3W,85,2,20,988,1009,225,BFL2,Inez,,
165,10/5/1966,0200Z,24.6N,81.8W,85,2,20,988,1009,225,BFL2,Inez,,
166,9/20/1967#,1200Z,25.9N,97.2W,100,3,10,940,1006,225,ATX3,Beulah,,
167,10/19/1968,0400Z,28.7N,82.7W,85,2,10,978,1010,225,"AFL2,",DFL1,Gladys,
168,10/20/1968*,0600Z,34.3N,76.6W,65,1,10,985,1010,225,NC1,Gladys,,
169,8/18/1969,0400Z,30.3N,89.4W,150,5,5,900,1004,150,"MS5,","LA5,",AL1,Camille
170,8/3/1970,2100Z,27.8N,97.1W,120,4,10,944,1010,150,ATX4,Celia,,
